title,scenario,short,value_metric,value_bin,score
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,CCP,all,All categories combined,5,24.5131
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,CCP,all,All categories combined,4,58.0141
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,CCP,all,All categories combined,3,14.3529
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,CCP,all,All categories combined,2,2.9922
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,CCP,all,All categories combined,1,0.1277
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,IPM,all,All categories combined,5,6.6355
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,IPM,all,All categories combined,4,67.0019
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,IPM,all,All categories combined,3,21.0477
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,IPM,all,All categories combined,2,5.1261
ABC - Using fairy dust (IPM) instead of glyphosate (CCP) on lettuce crops,IPM,all,All categories combined,1,0.1888
